20240504	16:16:48	7c5b330d-f9d6-4172-b64e-6288d17a868f	/h	GET
20240504	16:16:48	61bd359d-40b6-4d1d-a9c8-dac39fc185be	/css/style.css	GET
20240504	16:16:52	4ed11496-c88c-4c9c-a88b-b712b046ff3e	/	GET
20240504	16:16:53	2a9ab19c-21ab-40dc-ba58-d76f163ffb8a	/css/style.css	GET
20240504	16:17:21	38fa1310-1636-4ad0-a614-183e9c82b7cc	/new-page	GET
20240504	16:17:21	85955188-6377-47ed-94ca-d8ef2b8bd431	/css/style.css	GET
20240504	16:17:21	fe088117-36b4-401f-a881-b43e719c8b67	/img/img1.jpg	GET
20240509	11:46:29	0fbe8bf8-6252-4a61-89e3-214afc71677d	GET	undefined	/index
20240509	11:46:29	be0652aa-e3a0-477c-9508-5cf73479f8a8	GET	undefined	/css/style.css
;20240514	01:59:16	f049cd8e-f388-40db-9323-d5018e49b26a	GET	undefined	/new-page
20240514	01:59:16	ca6aab49-e6ee-4f54-85ca-ae9b94f24a20	GET	undefined	/css/style.css
20240514	01:59:16	a992120d-e21d-47b1-8b3c-4423aec3819b	GET	undefined	/img/img1.jpg
20240514	02:06:20	55f8958e-9d50-4e9e-b798-291d7414c1cf	GET	undefined	/index
20240514	02:06:20	333472aa-9797-4baf-8821-ba7b514af88d	GET	undefined	/css/style.css
20240514	02:07:04	a649ad31-990b-410e-94b0-3443886cb8cd	GET	undefined	/css/style.css
20240514	02:07:07	c60a4ad1-c781-4f72-bec7-e35858b89c0b	GET	undefined	/index
20240514	02:07:07	a67f0d58-f0f2-4061-8824-db9498eacade	GET	undefined	/css/style.css
20240514	02:07:11	8b77fccb-f157-4dcc-bbb5-5d7be638e557	GET	undefined	/index
20240514	02:07:11	06c7be12-c16e-445c-90ac-9bce7534de2f	GET	undefined	/css/style.css
20240514	02:21:50	9e6286f9-bca6-44ae-891b-1a725317d4ef	GET	undefined	/css/style.css
20240514	02:24:46	12d6a142-2e83-4136-819f-10ae388a9240	GET	undefined	/
20240514	02:26:52	646e5291-4ced-4b11-9d63-4f2c4e8de5ee	OPTIONS	https://www.google.com	/
20240514	02:26:52	60b2c0ad-4c3b-48d0-9cd8-37b2981afedc	GET	https://www.google.com	/
20240514	02:32:13	f340a3fc-a466-4974-8868-9917262e0257	GET	undefined	/index
20240514	02:33:10	a8f9994b-864b-4a05-836e-2c5dcff3922d	GET	undefined	/index
20240514	02:33:10	93bb3815-bd96-4069-8219-dc07e73cf0e2	GET	undefined	/css/style.css
